2019/05/21-20:45:15.934 [main] INFO  o.a.c.c.C.[.[localhost].[/ams] - Initializing Spring embedded WebApplicationContext 
2019/05/21-20:45:15.935 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2017 ms 
2019/05/21-20:45:16.150 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
2019/05/21-20:45:16.270 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
2019/05/21-20:45:16.333 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] 
2019/05/21-20:45:16.400 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.9.Final} 
2019/05/21-20:45:16.402 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found 
2019/05/21-20:45:16.541 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final} 
2019/05/21-20:45:16.721 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
2019/05/21-20:45:16.927 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2019/05/21-20:45:17.439 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2019/05/21-20:45:17.492 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2019/05/21-20:45:17.744 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8899 (http) with context path '/ams' 
2019/05/21-20:45:17.747 [main] INFO  c.x.springcloud.ams.AmsApplication - Started AmsApplication in 4.161 seconds (JVM running for 4.782) 
2019/05/21-20:45:17.749 [main] INFO  c.x.springcloud.ams.AmsApplication - 	
 系统启动成功 
2019/05/21-20:46:00.839 [http-nio-8899-exec-1] INFO  o.a.c.c.C.[.[localhost].[/ams] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
2019/05/21-20:46:00.839 [http-nio-8899-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
2019/05/21-20:46:00.847 [http-nio-8899-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 8 ms 
2019/05/21-20:46:01.131 [http-nio-8899-exec-1] INFO  c.x.s.ams.web.UserManagerController - 用户角色查询成功 
2019/05/21-20:46:01.162 [http-nio-8899-exec-1] INFO  c.x.s.a.I.CommonCostInterceptor - request times =302 
2019/05/21-20:46:01.165 [http-nio-8899-exec-1] INFO  c.x.s.a.I.CommonCostInterceptor - request times 1=305 
2019/05/21-21:42:15.035 [main] INFO  c.x.springcloud.ams.AmsApplication - Starting AmsApplication on xxw with PID 23956 (C:\work\project\xxwgit\ams\target\classes started by 86177 in C:\work\project\xxwgit\ams) 
2019/05/21-21:42:15.039 [main] INFO  c.x.springcloud.ams.AmsApplication - No active profile set, falling back to default profiles: default 
2019/05/21-21:42:15.822 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode. 
2019/05/21-21:42:15.867 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35ms. Found 0 repository interfaces. 
2019/05/21-21:42:16.220 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$fef736d7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019/05/21-21:42:16.960 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8899 (http) 
2019/05/21-21:42:16.984 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
2019/05/21-21:42:16.985 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17] 
2019/05/21-21:42:17.120 [main] INFO  o.a.c.c.C.[.[localhost].[/ams] - Initializing Spring embedded WebApplicationContext 
2019/05/21-21:42:17.120 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2041 ms 
2019/05/21-21:42:17.335 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
2019/05/21-21:42:17.479 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
2019/05/21-21:42:17.543 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] 
2019/05/21-21:42:17.608 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.9.Final} 
2019/05/21-21:42:17.610 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found 
2019/05/21-21:42:17.754 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final} 
